title,platform,genre,year,rating
The Legend of Zelda: Breath of the Wild,Switch,Adventure,2017,9.8
God of War,PS4,Action,2018,9.6
Stardew Valley,PC,Simulation,2016,9.0
Minecraft,PC,Sandbox,2011,9.3
Animal Crossing: New Horizons,Switch,Simulation,2020,9.1
Hades,PC,Roguelike,2020,9.2
Super Mario Odyssey,Switch,Platformer,2017,9.4
The Witcher 3: Wild Hunt,PC,RPG,2015,9.7
The last of us,ps4/ps5, adventure,2020,9.5
The last of us,ps4/ps5, adventure,2020,9.5
SIFU,ps5, adventure,2020,9.5
SIFU,ps5, adventure,2020,9.5
SIFU,ps5, adventure,2020,9.5
SIFU,ps5, adventure,2020,9.5
SIFU,ps5, adventure,2020,9.5
SIFU,ps5, adventure,2020,9.5
SIFU,ps5, adventure,2020,9.5